defer_frac,acc_reverse_mean,acc_reverse_sd,acc_paper_mean,acc_paper_sd,n_deferred,n_deferred_misrouted,frac_deferred_misrouted
0.0,0.912802,0.025805,0.912802,0.025805,0,0,0.000000
0.01,0.921712,0.023642,0.921712,0.023642,30,15,0.500000
0.02,0.926478,0.021831,0.926478,0.021831,60,23,0.383333
0.03,0.927992,0.022355,0.927992,0.022355,90,26,0.288889
0.05,0.935066,0.018428,0.935066,0.018428,145,35,0.241379
0.07,0.934951,0.018597,0.934951,0.018597,204,37,0.181373
0.1,0.936094,0.017339,0.936094,0.017339,286,39,0.136364
